2026-04-28 17:27:26 | people: 4 | max: 4 | status: OCCUPIED | occupied_time: 00:00:00
2026-04-28 17:27:31 | people: 3 | max: 4 | status: OCCUPIED | occupied_time: 00:00:05
2026-04-28 17:27:36 | people: 3 | max: 4 | status: OCCUPIED | occupied_time: 00:00:10
2026-04-28 17:27:41 | people: 5 | max: 7 | status: OCCUPIED | occupied_time: 00:00:15
2026-04-28 17:27:46 | people: 3 | max: 7 | status: OCCUPIED | occupied_time: 00:00:20
2026-04-28 17:27:51 | people: 4 | max: 7 | status: OCCUPIED | occupied_time: 00:00:25
2026-04-28 17:27:56 | people: 3 | max: 7 | status: OCCUPIED | occupied_time: 00:00:30
2026-04-28 17:28:02 | people: 3 | max: 7 | status: OCCUPIED | occupied_time: 00:00:35
2026-04-28 17:28:07 | people: 3 | max: 7 | status: OCCUPIED | occupied_time: 00:00:40
2026-04-28 17:28:12 | people: 4 | max: 7 | status: OCCUPIED | occupied_time: 00:00:45
2026-04-28 17:28:17 | people: 4 | max: 7 | status: OCCUPIED | occupied_time: 00:00:50
2026-04-28 17:28:22 | people: 3 | max: 7 | status: OCCUPIED | occupied_time: 00:00:55
2026-04-28 17:28:45 | people: 3 | max: 3 | status: OCCUPIED | occupied_time: 00:00:00
2026-04-28 17:28:50 | people: 5 | max: 6 | status: OCCUPIED | occupied_time: 00:00:05
2026-04-28 17:28:55 | people: 6 | max: 6 | status: CROWDED | occupied_time: 00:00:10
2026-04-28 17:29:00 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:15
2026-04-28 17:29:05 | people: 3 | max: 6 | status: OCCUPIED | occupied_time: 00:00:20
2026-04-28 17:29:10 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:25
2026-04-28 17:29:15 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:30
2026-04-28 17:29:20 | people: 3 | max: 6 | status: OCCUPIED | occupied_time: 00:00:35
2026-04-28 17:29:25 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:40
2026-04-28 17:29:30 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:45
2026-04-28 17:29:35 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:50
2026-04-28 17:29:40 | people: 2 | max: 6 | status: OCCUPIED | occupied_time: 00:00:55
